2	0.000204 
4	0.000207 
8	0.000252 
16	0.000214 
32	0.000175 
64	0.000110 
128	0.000130 
256	0.000126 
512	0.000144 
1024	0.000131 
2048	0.000192 
4096	0.000145 
8192	0.000230 
166384	0.000605 
32768	0.000237 
65536	0.000294 
131072	0.000438 
262144	0.000599 
524288	0.001086 
1048576	0.002159 
2097152	0.002736 
4194304	0.005238 
8388608	0.008471 
16777216	0.014837 
33554432	0.029050 
67108864	0.051528 
134217728	0.093400 
268435456	0.176671 
536870912	0.336852 
1073741824	0.633885 
2147483647	1.203631 
